movie_id,cast,crew,cast_size
19995,Sam Worthington,James Cameron,83
206647,Daniel Craig,Sam Mendes,83
49529,Taylor Kitsch,Andrew Stanton,27
559,Tobey Maguire,Sam Raimi,143
38757,Zachary Levi,Byron Howard,13
20662,Russell Crowe,Ridley Scott,34
254,Naomi Watts,Peter Jackson,33
597,Kate Winslet,James Cameron,136
44833,Taylor Kitsch,Peter Berg,46
37724,Daniel Craig,Sam Mendes,24
558,Tobey Maguire,Sam Raimi,76
68721,Robert Downey Jr ,Shane Black,107
20526,Garrett Hedlund,Joseph Kosinski,23
49013,Owen Wilson,John Lasseter,47
10193,Tom Hanks,Lee Unkrich,45
168259,Vin Diesel,James Wan,52
72190,Brad Pitt,Marc Forster,22
68726,Idris Elba,Guillermo del Toro,43
62177,Kelly Macdonald,Brenda Chapman,15
10681,Ben Burtt,Andrew Stanton,29
5174,Chris Tucker,Brett Ratner,18
14161,John Cusack,Roland Emmerich,52
14160,Ed Asner,Pete Docter,16
1726,Robert Downey Jr ,Jon Favreau,87
44826,Ben Kingsley,Martin Scorsese,28
9804,Kevin Costner,Kevin Reynolds,15
150540,Amy Poehler,Pete Docter,65
10138,Robert Downey Jr ,Jon Favreau,115
102651,Angelina Jolie,Robert Stromberg,82
79698,Josh Hartnett,Roland Joff ,19
64686,Keanu Reeves,Carl Rinsch,24
177572,Scott Adsit,Chris Williams,46
27205,Leonardo DiCaprio,Christopher Nolan,29
503,Kurt Russell,Wolfgang Petersen,14
68735,Paula Patton,Duncan Jones,47
1966,Colin Farrell,Oliver Stone,51
8960,Will Smith,Peter Berg,33
6479,Will Smith,Francis Lawrence,13
2062,Patton Oswalt,Jan Pinkava,23
109445,Kristen Bell,Chris Buck,56
10195,Chris Hemsworth,Kenneth Branagh,32
13053,John Travolta,Chris Williams,16
19585,Sam Rockwell,Hoyt Yeatman,21
7978,Benicio del Toro,Joe Johnston,14
5559,Jerry Seinfeld,Steve Hickner,25
266647,Levi Miller,Joe Wright,19
652,Brad Pitt,Wolfgang Petersen,20
95,Bruce Willis,Michael Bay,67
2310,Ray Winstone,Robert Zemeckis,30
13475,Chris Pine,J J  Abrams,168
557,Tobey Maguire,Sam Raimi,71
10048,Josh Lucas,Rob Cohen,23
13183,Malin  kerman,Zack Snyder,35
1927,Eric Bana,Ang Lee,16
7364,Matthew McConaughey,Breck Eisner,16
267935,Ruby Barnhill,Steven Spielberg,23
77950,Ryan Reynolds,David Soren,12
44896,Johnny Depp,Gore Verbinski,17
102899,Paul Rudd,Peyton Reed,65
228161,Jim Parsons,Tim Johnson,11
8961,Martin Lawrence,Michael Bay,21
27576,Angelina Jolie,Phillip Noyce,42
86834,Russell Crowe,Darren Aronofsky,18
6972,Nicole Kidman,Baz Luhrmann,45
82700,Jaden Smith,M  Night Shyamalan,19
10567,D  B  Sweeney,Ralph Zondag,10
38055,Will Ferrell,Tom McGrath,23
49524,Jeff Bridges,Robert Schwentke,35
172385,Jesse Eisenberg,Carlos Saldanha,21
36658,Patrick Stewart,Bryan Singer,31
51497,Vin Diesel,Justin Lin,36
87827,Suraj Sharma,Ang Lee,21
1250,Nicolas Cage,Mark Steven Johnson,19
70981,Noomi Rapace,Ridley Scott,26
68724,Matt Damon,Neill Blomkamp,24
97020,Joel Kinnaman,Jos  Padilha,16
7459,Emile Hirsch,Lilly Wachowski,26
75612,Tom Cruise,Joseph Kosinski,15
49519,Nicolas Cage,Chris Sanders,8
12100,Nicolas Cage,John Woo,10
49047,Sandra Bullock,Alfonso Cuar n,7
9619,Pierce Brosnan,Roger Donaldson,16
254128,Dwayne Johnson,Brad Peyton,45
2024,Mel Gibson,Roland Emmerich,21
262500,Shailene Woodley,Robert Schwentke,24
2567,Leonardo DiCaprio,Martin Scorsese,65
41513,Hank Azaria,Raja Gosnell,29
262504,Shailene Woodley,Robert Schwentke,34
39254,Hugh Jackman,Shawn Levy,172
80274,Asa Butterfield,Gavin Hood,20
8489,Will Smith,Michael Mann,56
2048,Will Smith,Alex Proyas,21
286217,Matt Damon,Ridley Scott,51
1635,Ewan McGregor,Michael Bay,41
98,Russell Crowe,Ridley Scott,38
36955,Arnold Schwarzenegger,James Cameron,10
